index,date,title,production budget,domestric budget,worldwide gross
160,"Sep 20, 2013",Battle of the Year,"$20,000,000","$8,888,355","$16,723,377"
161,"Sep 20, 2013",Feichang Xingyun,"$8,000,000",$0,"$21,970,000"
162,"Sep 26, 2013",Cloudy with a Chance of Meatballs 2,"$78,000,000","$119,793,567","$274,392,649"
163,"Sep 26, 2013",Runner Runner,"$30,000,000","$19,316,646","$60,512,680"
164,"Sep 27, 2013",Metallica Through the Never,"$18,000,000","$3,419,967","$9,082,906"
165,"Sep 27, 2013",Baggage Claim,"$8,500,000","$21,569,509","$22,885,836"
166,"Sep 27, 2013",Don Jon,"$5,500,000","$24,477,704","$41,268,579"
167,"Oct 3, 2013",Gravity,"$110,000,000","$274,092,705","$684,657,731"
168,"Oct 4, 2013",Parkland,"$10,000,000","$641,439","$1,616,353"
169,"Oct 4, 2013",Grace Unplugged,"$1,700,000","$2,507,159","$2,507,159"
170,"Oct 4, 2013",My Last Day Without You,"$1,000,000",$0,$0
171,"Oct 4, 2013",The Dirties,"$55,000",$0,$0
172,"Oct 8, 2013",Zombie Hunter,"$1,000,000",$0,$0
173,"Oct 10, 2013",Escape Plan,"$70,000,000","$25,135,965","$103,735,965"
174,"Oct 10, 2013",La grande bellezza,"$12,000,000","$2,883,879","$29,484,256"
175,"Oct 11, 2013",Captain Phillips,"$55,000,000","$107,136,417","$220,648,184"
176,"Oct 11, 2013",Machete Kills,"$20,000,000","$8,008,161","$18,273,009"
177,"Oct 11, 2013",Khumba,"$15,000,000",$0,"$20,898,221"
178,"Oct 11, 2013",La Vie d'Adèle – Chapitres 1 & 2,"$5,250,000","$2,450,504","$22,895,151"
179,"Oct 11, 2013",All the Boys Love Mandy Lane,"$750,000",$0,"$1,960,521"
180,"Oct 11, 2013",Escape from Tomorrow,"$650,000","$171,962","$171,962"
181,"Oct 18, 2013",Carrie,"$30,000,000","$35,266,619","$82,409,520"
182,"Oct 18, 2013",The Fifth Estate,"$26,000,000","$3,254,172","$6,154,172"
183,"Oct 18, 2013",12 Years a Slave,"$20,000,000","$56,671,993","$180,765,061"
184,"Oct 18, 2013",All is Lost,"$8,500,000","$6,263,670","$10,386,814"
185,"Oct 18, 2013",I'm in Love with a Church Girl,"$3,000,000","$2,387,730","$2,503,392"
186,"Oct 19, 2013",Supesu Batorushippu Yamato,"$12,000,000",$0,$0
187,"Oct 23, 2013",Jackass Presents: Bad Grandpa,"$15,000,000","$102,003,019","$160,903,019"
188,"Oct 25, 2013",Ender’s Game,"$110,000,000","$61,737,191","$127,983,283"
189,"Oct 25, 2013",The Counselor,"$25,000,000","$16,973,715","$71,009,334"
190,"Oct 25, 2013",The Face of Love,"$4,000,000","$385,069","$1,158,877"
191,"Oct 25, 2013",The Square,"$1,500,000","$124,244","$176,262"
192,"Oct 25, 2013",A True Story,"$45,000",$0,$0
193,"Oct 25, 2013",Her Cry: La Llorona Investigation,"$35,000",$0,$0
194,"Oct 30, 2013",Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516"
195,"Oct 30, 2013",Blood Ties,"$26,000,000","$42,472","$2,923,959"
196,"Oct 31, 2013",Free Birds,"$55,000,000","$55,750,480","$110,387,072"
197,"Nov 1, 2013",Philomena,"$12,000,000","$37,709,979","$98,963,392"
198,"Nov 1, 2013",Dallas Buyers Club,"$5,000,000","$27,298,285","$60,611,845"
199,"Nov 6, 2013",Inside Llewyn Davis,"$11,000,000","$13,248,209","$32,943,247"
200,"Nov 7, 2013",Geograf globus propil,"$4,000,000",$0,"$4,454,853"
201,"Nov 8, 2013",The Book Thief,"$19,000,000","$21,488,481","$76,086,711"
202,"Nov 15, 2013",The Hunger Games: Catching Fire,"$130,000,000","$424,668,047","$864,808,014"
203,"Nov 15, 2013",The Best Man Holiday,"$17,000,000","$70,525,195","$72,835,710"
204,"Nov 15, 2013",Nebraska,"$12,000,000","$17,654,912","$24,761,360"
205,"Nov 15, 2013",The Christmas Candle,"$7,000,000","$1,632,000","$1,933,829"
206,"Nov 15, 2013",Dom Hemingway,"$7,000,000","$523,511","$1,857,458"
207,"Nov 20, 2013",L'inconnu du lac,"$1,000,000","$323,070","$2,697,234"
208,"Nov 21, 2013",Delivery Man,"$22,000,000","$30,659,817","$55,616,322"
209,"Nov 21, 2013",Le passé,"$8,000,000","$1,335,672","$15,752,575"
210,"Nov 22, 2013",Frozen,"$150,000,000","$400,953,009","$1,274,545,858"
211,"Nov 22, 2013",Heli,"$1,000,000",$0,"$552,614"
212,"Nov 27, 2013",Homefront,"$22,000,000","$20,158,492","$51,695,362"
213,"Nov 27, 2013",Black Nativity,"$17,500,000","$7,018,188","$7,454,184"
214,"Nov 28, 2013",Mandela: Long Walk to Freedom,"$35,000,000","$8,323,085","$29,890,402"
215,"Nov 28, 2013",Space Pirate Captain Harlock,"$30,000,000",$0,"$310,985"
216,"Nov 29, 2013",Saving Mr. Banks,"$35,000,000","$83,299,761","$114,962,525"
217,"Dec 4, 2013",Out of the Furnace,"$22,000,000","$11,330,849","$15,434,375"
218,"Dec 4, 2013",Zulu,"$16,000,000",$0,"$1,844,228"
219,"Dec 6, 2013",47 Ronin,"$175,000,000","$38,362,475","$151,716,815"
220,"Dec 6, 2013",The Last Days on Mars,"$10,600,000","$24,084","$261,364"
221,"Dec 12, 2013",The Hobbit: The Desolation of Smaug,"$250,000,000","$258,241,522","$959,358,436"
222,"Dec 12, 2013",American Hustle,"$40,000,000","$150,098,456","$257,858,943"
223,"Dec 13, 2013",Tyler Perry's A Madea Christmas,"$25,000,000","$52,543,354","$52,543,354"
224,"Dec 18, 2013",Anchorman 2: The Legend Continues,"$50,000,000","$127,413,176","$172,246,223"
225,"Dec 18, 2013",Belle et Sébastien,"$11,400,000",$0,"$27,042,499"
226,"Dec 19, 2013",The Secret Life of Walter Mitty,"$91,000,000","$58,236,838","$187,861,183"
227,"Dec 19, 2013",Dhoom 3,"$24,000,000","$8,031,955","$11,723,620"
228,"Dec 20, 2013",Walking with Dinosaurs,"$80,000,000","$36,076,121","$123,368,842"
229,"Dec 25, 2013",The Wolf of Wall Street,"$100,000,000","$116,949,183","$389,816,136"
230,"Dec 25, 2013",Lone Survivor,"$40,000,000","$125,095,601","$149,804,632"
231,"Dec 25, 2013",Grudge Match,"$40,000,000","$29,817,991","$69,817,991"
232,"Dec 25, 2013",August: Osage County,"$25,000,000","$37,738,810","$50,738,810"
233,"Jan 3, 2014",Paranormal Activity: The Marked Ones,"$5,000,000","$32,462,372","$90,904,854"
234,"Jan 7, 2014",Hidden Away,"$1,000,000",$0,$0
235,"Jan 10, 2014",The Legend of Hercules,"$70,000,000","$18,848,538","$58,953,319"
236,"Jan 10, 2014",The Adventurer: The Curse of the Midas Box,"$25,000,000",$0,$0
237,"Jan 10, 2014",Her,"$23,000,000","$25,568,251","$48,038,809"
238,"Jan 10, 2014",Banshee Chapter,"$950,000",$0,"$78,122"
239,"Jan 17, 2014",Jack Ryan: Shadow Recruit,"$60,000,000","$50,577,412","$131,377,412"
240,"Jan 17, 2014",The Nut Job,"$30,000,000","$64,251,538","$122,529,966"
241,"Jan 17, 2014",Ride Along,"$25,000,000","$134,202,565","$153,733,800"
242,"Jan 17, 2014",Devil's Due,"$7,000,000","$15,821,461","$36,146,087"
243,"Jan 17, 2014",O Menino e o Mundo,"$500,000","$129,479","$280,967"
244,"Jan 24, 2014","I, Frankenstein","$65,000,000","$19,075,290","$74,575,290"
245,"Jan 31, 2014",Labor Day,"$18,000,000","$13,371,528","$14,189,810"
246,"Jan 31, 2014",That Awkward Moment,"$8,000,000","$26,068,955","$53,068,955"
247,"Feb 6, 2014",The Lego Movie,"$60,000,000","$257,784,718","$467,576,428"
248,"Feb 6, 2014",The Interview,"$44,000,000","$6,105,175","$12,342,632"
249,"Feb 7, 2014",The Monuments Men,"$70,000,000","$78,031,620","$158,702,748"
250,"Feb 7, 2014",Nurse 3D,"$10,000,000",$0,"$379,584"
251,"Feb 12, 2014",RoboCop,"$120,000,000","$58,607,007","$242,981,799"
252,"Feb 14, 2014",Winter’s Tale,"$60,000,000","$12,600,231","$29,575,033"
253,"Feb 14, 2014",Endless Love,"$20,000,000","$23,438,250","$34,718,173"
254,"Feb 14, 2014",About Last Night,"$13,000,000","$48,637,684","$50,445,860"
255,"Feb 14, 2014",Down and Dangerous,"$50,000",$0,$0
256,"Feb 20, 2014",Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430"
257,"Feb 21, 2014",Pompeii,"$80,000,000","$23,169,033","$108,469,033"
258,"Feb 21, 2014",3 Days to Kill,"$28,000,000","$30,697,999","$38,959,900"
259,"Feb 28, 2014",Non-Stop,"$50,000,000","$91,742,160","$222,383,055"
260,"Feb 28, 2014",Son of God,"$22,000,000","$59,700,064","$70,949,793"
261,"Feb 28, 2014",The Lunchbox,"$1,700,000","$4,231,500","$15,517,886"
262,"Mar 4, 2014",Wicked Blood,"$3,500,000",$0,$0
263,"Mar 5, 2014",The Grand Budapest Hotel,"$31,000,000","$59,076,019","$163,037,661"
264,"Mar 7, 2014",300: Rise of an Empire,"$110,000,000","$106,580,051","$330,780,051"
265,"Mar 11, 2014",In the Name of the King III,"$3,500,000",$0,$0
266,"Mar 11, 2014",Against the Wild,"$1,800,000",$0,$0
267,"Mar 13, 2014",Need for Speed,"$66,000,000","$43,568,507","$194,169,619"
268,"Mar 14, 2014",Under the Skin,"$13,300,000","$2,614,251","$7,229,933"
269,"Mar 14, 2014",Bad Words,"$10,000,000","$7,779,614","$7,843,145"
270,"Mar 14, 2014",Veronica Mars,"$6,000,000","$3,322,127","$3,485,383"
271,"Mar 14, 2014",The Word,"$200,000","$3,648","$3,648"
272,"Mar 20, 2014",Rio 2,"$130,000,000","$131,538,435","$492,846,291"
273,"Mar 21, 2014",Divergent,"$85,000,000","$150,947,895","$276,014,965"
274,"Mar 21, 2014",Muppets Most Wanted,"$55,000,000","$51,178,893","$79,312,301"
275,"Mar 21, 2014",50 to 1,"$10,000,000","$1,069,454","$1,069,454"
276,"Mar 21, 2014",God’s Not Dead,"$1,150,000","$60,755,732","$63,777,092"
277,"Mar 21, 2014",Cheap Thrills,"$100,000","$59,424","$59,424"
278,"Mar 27, 2014",Noah,"$130,000,000","$101,200,044","$352,831,065"
279,"Mar 28, 2014",Captain America: The Winter Soldier,"$170,000,000","$259,746,958","$714,401,889"
280,"Mar 28, 2014",Sabotage,"$35,000,000","$10,508,518","$18,376,443"
281,"Mar 28, 2014",Ida,"$2,600,000","$3,827,060","$15,298,355"
282,"Mar 28, 2014",Locker 13,"$300,000","$3,496","$3,496"
283,"Apr 11, 2014",Draft Day,"$25,000,000","$28,842,237","$29,847,480"
284,"Apr 11, 2014",The Railway Man,"$18,000,000","$4,438,438","$23,910,210"
285,"Apr 11, 2014",Oculus,"$5,000,000","$27,695,246","$44,115,496"
286,"Apr 11, 2014",Joe,"$4,000,000","$373,375","$373,375"
287,"Apr 11, 2014",Jesus People,"$250,000",$0,$0
288,"Apr 11, 2014",The Quiet Ones,"$200,000","$8,509,867","$18,413,804"
289,"Apr 16, 2014",The Amazing Spider-Man 2,"$200,000,000","$202,853,933","$708,996,336"
290,"Apr 16, 2014",Heaven is for Real,"$12,000,000","$91,386,097","$100,913,556"
291,"Apr 17, 2014",Closer to the Moon,"$1,500,000",$0,"$5,396"
292,"Apr 17, 2014",Virunga,"$1,000,000",$0,$0
293,"Apr 18, 2014",Transcendence,"$100,000,000","$23,022,309","$103,039,258"
294,"Apr 18, 2014",A Haunted House 2,"$4,000,000","$17,329,487","$21,206,861"
295,"Apr 18, 2014",13 Sins,"$4,000,000","$9,134","$47,552"
296,"Apr 23, 2014",The Other Woman,"$40,000,000","$83,911,193","$194,270,103"
297,"Apr 23, 2014",Brick Mansions,"$28,000,000","$20,396,829","$73,421,224"
298,"Apr 25, 2014",Locke,"$2,000,000","$1,370,646","$2,088,390"
299,"Apr 25, 2014",Blue Ruin,"$420,000","$258,384","$437,002"
300,"May 2, 2014",Water & Power,"$600,000","$42,557","$42,557"
301,"May 9, 2014",Legends of Oz: Dorothy’s Return,"$70,000,000","$8,462,347","$20,107,933"
302,"May 9, 2014",Neighbors,"$18,000,000","$150,086,800","$270,944,428"
303,"May 9, 2014",Moms’ Night Out,"$5,000,000","$10,429,707","$10,537,341"
304,"May 9, 2014",Palo Alto,"$1,000,000","$767,732","$1,156,309"
305,"May 14, 2014",Godzilla,"$160,000,000","$200,676,069","$529,076,069"
306,"May 15, 2014",Grace of Monaco,"$30,000,000",$0,"$25,199,891"
307,"May 15, 2014",Praia do Futuro,"$4,000,000","$20,620","$760,678"
308,"May 16, 2014",Million Dollar Arm,"$25,000,000","$36,447,959","$39,217,912"
309,"May 16, 2014",The Immigrant,"$16,000,000","$2,013,456","$7,585,011"
310,"May 21, 2014",X-Men: Days of Future Past,"$200,000,000","$233,921,534","$747,862,775"
311,"May 22, 2014",Blended,"$45,000,000","$46,290,741","$127,990,741"
312,"May 22, 2014",Thunder and the House of Magic,"$34,000,000","$4,091","$62,582,520"
313,"May 23, 2014",The Babadook,"$2,000,000","$950,792","$7,482,387"
314,"May 28, 2014",Maleficent,"$180,000,000","$241,407,328","$758,536,735"
315,"May 28, 2014",Edge of Tomorrow,"$178,000,000","$100,206,256","$367,028,980"
316,"May 28, 2014",A Million Ways to Die in The West,"$40,000,000","$42,720,965","$86,778,557"
317,"Jun 4, 2014",The Homesman,"$16,000,000","$2,429,989","$8,217,571"
318,"Jun 4, 2014",The Fault in Our Stars,"$12,000,000","$124,872,350","$307,166,834"
319,"Jun 4, 2014",The Rover,"$8,500,000","$1,109,199","$3,180,252"
320,"Jun 5, 2014",How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270"
321,"Jun 5, 2014",22 Jump Street,"$50,000,000","$191,719,337","$331,333,876"
322,"Jun 5, 2014",Boyhood,"$4,000,000","$25,379,975","$57,273,049"
323,"Jun 6, 2014",Anna,"$4,357,373",$0,"$1,200,000"
324,"Jun 6, 2014",Obvious Child,"$1,000,000","$3,122,616","$3,324,070"
325,"Jun 6, 2014",Test,"$250,000","$18,823","$18,823"
