ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"172.87.152.122","elite","AS11427","US","Spectrum","118","Laredo Executive INN","39593","socks4","74","2","2024-04-16T19:07:39.699Z","100","6824","6850"
"117.10.124.11","elite","AS4837","CN","CNC Group CHINA169 Tianjin Province Network","296","N/A","1080","socks4","4692","2","2024-04-16T19:07:39.705Z","81","5519","6788"
"185.169.181.15","elite","AS34984","TR","Ates Dc","55","Ibrahim MALA trading as Ates Dc","4145","socks4","71","89","2024-04-16T19:07:39.599Z","100","6862","6885"
"143.110.240.94","elite","AS14061","IN","DigitalOcean, LLC","151","DigitalOcean, LLC","18093","socks4","520","2","2024-04-16T19:07:39.999Z","99","6823","6879"
"185.162.230.178","elite","AS209242","GB","Cloudflare London, LLC","3","Softconstruct Limited","80","socks4","4008","2","2024-04-16T19:07:37.805Z","100","6732","6734"
"137.184.42.134","elite","AS14061","US","DigitalOcean, LLC","152","DigitalOcean, LLC","12544","socks4","70","2","2024-04-16T19:07:37.611Z","100","6822","6849"
"109.248.236.150","elite","AS8200","KZ","Uplink LLC","80","Uplink LLC","9898","socks4","613","1","2024-04-16T19:07:37.703Z","89","126","142"
"165.227.104.122","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","58839","socks4","425","3","2024-04-16T19:07:37.708Z","100","144","144"
"54.36.26.122","elite","AS16276","FR","OVH SAS","7","OVH","80","socks5","72","2","2024-04-16T19:07:37.701Z","100","6768","6768"
"5.42.86.135","elite","AS210644","SE","Aeza International LTD","2","Aeza Group LLC","80","http","2308","14594","2024-04-16T19:07:37.812Z","100","16","16"
"185.171.52.101","elite","AS44285","IR","Sefroyek Pardaz Engineering Co. LTD","81","Shahrad","4153","socks4","2096","83","2024-04-16T19:07:37.807Z","97","6641","6852"
"104.23.141.196","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","73","2","2024-04-16T19:07:37.718Z","100","6817","6817"
"101.51.88.247","elite","AS23969","TH","TOT Public Company Limited","291","TOT Public Company Limited","4145","socks4","68","1","2024-04-16T19:07:37.715Z","66","4562","6898"
"103.38.205.3","elite","AS45916","IN","gtpl hariom world vision","133","Gtpl Broadband Pvt. Ltd.","45916","socks4","73","2","2024-04-16T19:07:23.403Z","99","6763","6801"
"43.134.225.110","elite","AS132203","SG","Aceville Pte.ltd","255","N/A","443","socks5","4606","2","2024-04-16T19:07:23.400Z","83","5682","6862"
"31.206.38.40","elite","AS15924","TR","Vodafone Net Iletisim Hizmetler","81","Vodafone Net Iletisim Hizmetler","15924","socks4","63","2","2024-04-16T19:07:23.406Z","100","6813","6832"
"51.15.182.240","elite","AS12876","FR","SCALEWAY","1","ONLINE","5836","socks4","197","3","2024-04-16T19:07:22.919Z","90","6201","6861"
"121.13.229.211","elite","AS4134","CN","Chinanet","212","Chinanet GD","61401","socks4","3010","4","2024-04-16T19:07:22.702Z","87","5959","6857"
"212.83.182.139","elite","AS12876","FR","Online","1","Free SAS","5836","socks4","71","2","2024-04-16T19:07:22.717Z","91","6241","6850"
"118.218.126.54","elite","AS9318","KR","SK Broadband Co Ltd","264","broadNnet","9400","socks4","70","82","2024-04-16T19:07:22.804Z","100","6759","6774"
"185.119.59.63","elite","AS9123","RU","TimeWeb Ltd.","46","TimeWeb Ltd","7777","socks5","73","4","2024-04-16T19:07:22.904Z","82","5601","6806"
"121.200.63.38","elite","AS55828","BD","Drik ICT","154","Drik ICT Ltd","4153","socks4","437","1","2024-04-16T19:07:22.910Z","100","103","103"
"189.126.14.226","elite","AS270316","BR","NET NOVO TEMPO","182","NET NOVO TEMPO","1080","socks4","1407","2","2024-04-16T19:07:22.808Z","98","6743","6891"
"51.89.0.56","elite","AS16276","GB","OVH SAS","12","OVH","21234","socks4","3112","2","2024-04-16T19:07:09.105Z","100","6742","6743"
"1.0.136.7","elite","AS23969","TH","TOT Public Company Limited","192","TOT Public Company Limited","4145","socks4","4999","2","2024-04-16T19:07:09.016Z","58","3917","6777"
"177.125.161.38","elite","AS262346","BR","FP Telecomunicacoes Ltda","214","FP Telecomunicacoes Ltda","4145","socks4","94","2","2024-04-16T19:07:09.100Z","75","5000","6687"
"43.153.108.126","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","152","Tencent Cloud Computing","443","socks5","72","3","2024-04-16T19:07:09.111Z","83","5702","6875"
"197.245.155.96","elite","AS11845","ZA","Vox Telecom Ltd","193","Vox Telecom","8080","socks4","2091","2","2024-04-16T19:07:08.302Z","93","6360","6807"
"104.27.26.29","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks4","71","2","2024-04-16T19:07:08.400Z","100","6870","6870"
"27.147.193.190","elite","AS23688","BD","Link3 Technologies Limited","209","Corporate Subscriber","1080","socks4","3716","4","2024-04-16T19:07:08.218Z","99","6735","6835"
"117.202.20.69","elite","AS9829","IN","BSNL Internet","205","NIB","1088","socks4","72","3","2024-04-16T19:07:08.600Z","97","6512","6748"
"202.179.184.34","elite","AS38750","ID","Telemedia Dinamika Sarana, PT","165","TDS JMB","5430","socks4","3897","2","2024-04-16T19:07:08.306Z","93","78","84"
"199.188.93.214","elite","AS64200","US","Vivid-hosting LLC","144","Vivid-hosting LLC","9000","socks5","4611","1","2024-04-16T19:07:08.511Z","100","6863","6877"
"105.234.156.109","elite","AS37440","MW","Airtel Malawi","290","N/A","4145","socks4","5014","2","2024-04-16T19:07:08.314Z","81","5589","6866"
"170.81.108.46","elite","AS266416","BR","L3 NETWORKS E TELECOMUNICACOES LTDA","288","L3 NETWORKS E TELECOMUNICACOES LTDA","4153","socks4","66","2","2024-04-16T19:07:08.318Z","100","6756","6785"
"188.72.6.98","elite","AS39216","IQ","AL-SARD FIBER Co. for Internet Fiber and Optical Cable Services /Ltd.","154","CellNet ltd","50321","socks4","2586","2","2024-04-16T19:06:57.113Z","94","6482","6872"
"143.92.56.162","elite","AS64050","HK","Rackip Consultancy Pte. LTD","283","CTG Server Ltd.","39500","socks4","1605","2","2024-04-16T19:06:57.118Z","61","4130","6726"
"1.84.218.183","elite","AS4134","CN","Chinanet","186","Chinanet SN","1081","socks5","74","2","2024-04-16T19:06:57.115Z","11","763","6817"
"36.95.56.58","elite","AS7713","ID","PT. Telekomunikasi Indonesia","292","Telekomunikasi Indonesia","5678","socks4","802","2","2024-04-16T19:06:57.111Z","39","2688","6874"
"51.81.31.169","elite","AS16276","US","OVH SAS","80","OVH US LLC","4485","socks4","1194","1","2024-04-16T19:06:57.117Z","100","6833","6833"
"36.90.167.71","elite","AS7713","ID","PT. Telekomunikasi Indonesia","290","Telekomunikasi Indonesia","5678","socks4","2030","2","2024-04-16T19:06:57.106Z","85","5776","6773"
"1.55.241.4","elite","AS18403","VN","FPT Telecom Company","232","FPTDYNAMICIP","4145","socks4","71","93","2024-04-16T19:06:57.102Z","99","6766","6847"
"202.159.60.113","elite","AS9340","ID","PT IndoInternet","200","N/A","443","socks4","794","2","2024-04-16T19:06:57.107Z","99","6766","6802"
"104.22.37.236","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks4","67","2","2024-04-16T19:06:56.617Z","100","6843","6843"
"134.236.30.92","elite","AS131090","TH","CAT-BB","217","N/A","5678","socks4","4304","2","2024-04-16T19:06:56.707Z","59","4043","6831"
"181.174.130.165","elite","AS52308","AR","Aguas Del Colorado Sapem","259","Cooperativa de Obras y Servicios Publicos de Macachin Limitada","5678","socks4","76","3","2024-04-16T19:06:56.710Z","99","6718","6805"
"91.121.49.245","elite","AS16276","FR","OVH SAS","6","OVH ISP","7497","socks5","70","3","2024-04-16T19:06:56.615Z","9","583","6841"
"36.92.81.181","elite","AS7713","ID","Telekomunikasi Indonesia","250","Temporary","4145","socks4","4997","2","2024-04-16T19:06:56.612Z","100","6830","6852"
"113.231.150.20","elite","AS4837","CN","CNC Group CHINA169 Liaoning Province Network","198","N/A","1080","socks4","2789","4","2024-04-16T19:06:56.614Z","73","4963","6806"
